ID,Title,Price_GEL,Price_USD,PricePerSqm_GEL,PricePerSqm_USD,Area_SqM,City,District,Subdistrict,Street,Description,MainImage,URL,Price_Per_SqM_USD
31659146,იყიდება 5 ოთახიანი ბინა ლისის ტბაზე,605000.0,220000.0,3900.0,1420.0,155.0,თბილისი,ვაკე-საბურთალო,ლისის ტბა,ცაცხვების ქ.,"იყიდება 5 ოთახიანი ბინა ახალაშენებულ, დასრულებულ, პრემიუმ კლასის, მყუდრო, 8 ბინიან საცხოვრებელში, ლიფტით. ბინა მდებარეობს ლისის წრიულიდან 300 მეტრში რაც საშუალებას იძლევა რამდენიმე წუთში მოხვდეთ როგორც ლისის ტბასთან ასევე ქალაქის ცენტრში.

ბინას საჩუქრად მოყვება 44კვ.მ ღია ტერასა და 17კვ.მ ეზო სადაც",https://static.ss.ge/20250317/5_85ddbfe4-0898-44ec-aaa9-3bd7a08b5c88_Thumb.jpg,https://home.ss.ge/real-estate/31659146,1419.35
31912028,იყიდება 2 ოთახიანი ბინა სამგორში,219000.0,79500.0,4560.0,1660.0,48.0,თბილისი,ისანი-სამგორი,სამგორი,მოსკოვის გამზ.,"ეს ახლად განახლებული ბინა უზრუნველყოფს თბილ და მყუდრო ატმოსფეროს, რაც იდეალურია კომფორტული ცხოვრებისთვის. ის მდებარეობს ახალ აშენებულ კორპუსში, თანამედროვე საცხოვრებელი კომპლექსის ფარგლებში და მზად არის საცხოვრებლად.

ისიამოვნეთ წლიური კომფორტით ჩაშენებული კონდიცირების სისტემის წყალობით — იდეალურია",https://static.ss.ge/20250413/14_ea9e72e4-08fe-4dd7-baa0-9d6c8c1a09da_Thumb.jpg,https://home.ss.ge/real-estate/31912028,1656.25
30998935,იყიდება 2 ოთახიანი ბინა ორთაჭალაში,289000.0,105000.0,4120.0,1500.0,70.0,თბილისი,ისანი-სამგორი,ორთაჭალა,კალანდაძის ქ.,"სასწრაფოდ !!! ძველი თბილისის ცენტრთან ახლოს, ეკოლოგიურად სუფთა გარემოში, პრემიუმ კლასის პროექტ ""ორთაჭალა ჰილს""-ში იყიდება ორ ოთახიანი ბინა ერთი საძინებლით აივნით.  მწვანე კარკასის კონდიციით. კორპუსი ენერგოეფექტურია და მოპირკეთდება წითელი აგურით, ტრავერტინით. ბინებში გათვალისწინებულია ხმის იზოლაცია.",https://static.ss.ge/20250116/3_acd6c1ca-69ce-4d85-b4b0-f41af27fce52_Thumb.jpg,https://home.ss.ge/real-estate/30998935,1500.0
31958531,იყიდება 3 ოთახიანი ბინა ორთაჭალაში,344000.0,125000.0,4110.0,1500.0,83.6,თბილისი,ისანი-სამგორი,ორთაჭალა,ნადიკვარის ქ.,"კუთხის ბინა!!!
პროექტის ტერიტორიაზე არის თანამედროვე სტანდარტების სარეკრეაციო ზონა, გამწვანებული სკვერები, ბავშვთა სათამაშო სივრცეები, სასეირნო, სარბენი და ველობილიკები, სპორტული მოედნები, აუზი, კომერციული ობიექტები, საბავშვო ბაღი, სკოლა, შინაური ცხოველების გასასეირნებელი სივრცე და დენდროლოგიური ბაღ",https://static.ss.ge/20250418/4_bd710484-a6a0-4f38-a43e-a0b8ae9888a0_Thumb.jpg,https://home.ss.ge/real-estate/31958531,1495.22
31954888,იყიდება 4 ოთახიანი ბინა საბურთალოზე,457000.0,166000.0,3020.0,1100.0,151.0,თბილისი,ვაკე-საბურთალო,საბურთალო,ზ. ბენდელიანის ქ.,"იყიდება დუპლექსის ტიპის ბინა, საბურთალოზე, ბენდელიანის ქუჩაზე, ტელევიზიის მოპირდაპირე მხარეს, ხედებით მთაწმინდისკენ, ცენტრალური გათბობით, იზოლირებული სამზარეულოთი, სარდაფთან ერთად
ვარ უძრავი ქონების აგენტი",https://static.ss.ge/20250417/13_1a86a402-bb94-485b-b8f6-b998c7cbccee_Thumb.jpg,https://home.ss.ge/real-estate/31954888,1099.34
31575735,იყიდება 2 ოთახიანი ბინა საბურთალოზე,330000.0,120000.0,5590.0,2030.0,59.0,თბილისი,ვაკე-საბურთალო,საბურთალო,უნივერსიტეტის ქ.,"იყიდება ბინა გრინჰილის ახალ აშენებულ პროექტში. Greenhill Residence-ში. ვარ მესაკუთრე.
საბურთალოზე, დასრულებულ და შესახლებულ კომპლექსში, იყიდება 59 კვ.მ. მზიანი ბინა მე-6 სართულზე, ულამაზესი ხედით ვერეს ხეობასა და წყნეთის მთებზე. ფასი: 120,000$ კომპლექსის უპირატესობები: • უნიკალური მდებარეობა და სუფთ",https://static.ss.ge/20250309/18_1763b804-5828-41af-a5d8-dd695eb3bf60_Thumb.jpg,https://home.ss.ge/real-estate/31575735,2033.9
31829000,იყიდება 2 ოთახიანი ბინა ორთაჭალაში,198000.0,72000.0,4210.0,1530.0,47.0,თბილისი,ისანი-სამგორი,ორთაჭალა,გორგასლის ქ.,"ახალი რემონტით, უცხოვრებელი, პრემიუმ კლასის საცხოვრებელ კომპლექსში. იყიდება ბინა ორთაჭალაში, გორგასლის ქუჩა №105, კლინიკა პინეოს გვერდით, სამშენებლოპარკ ორთაჭალას კორპუსში. ბინა არის 47 კვ.მ, ახალი გარემონტებული და უცხოვრებელი. ნათელი სივრცე ხედით მტკვარზე. ✅ აბონირება გადახდილია ✅ ცენტრალური გათბობ",https://static.ss.ge/20250418/4_4641b8a2-882d-4cf3-921a-6c476026da2e_Thumb.jpg,https://home.ss.ge/real-estate/31829000,1531.91
31895694,იყიდება 2 ოთახიანი ბინა საბურთალოზე,371000.0,135000.0,61.0,22.0,6060.0,თბილისი,ვაკე-საბურთალო,საბურთალო,უნივერსიტეტის ქ.,იყიდება თბილისი ცენტრალ პარკთან პრემიუმ კლასის CityZenis უნიკალური პროეკტის მშენებარე 2 ოთახიანი ბინა. 40% წინსწრებით გადახდის შემთხვევაში შესაძლებელია შიდა უპროცენტო განვადება!,https://static.ss.ge/20250411/7_7d61b8d3-042d-4f74-be22-cb90e5bedff1_Thumb.jpg,https://home.ss.ge/real-estate/31895694,22.28
31671375,იყიდება 3 ოთახიანი ბინა ვაზისუბანში,209000.0,76000.0,2750.0,1000.0,76.0,თბილისი,ისანი-სამგორი,ვაზისუბანი,II მიკრორაიონი - ვაზისუბანი,,https://static.ss.ge/20250319/17_27952da1-b27a-4304-b666-c84d9565e153_Thumb.jpg,https://home.ss.ge/real-estate/31671375,1000.0
31850117,იყიდება 3 ოთახიანი ბინა საბურთალოზე,465000.0,169000.0,4080.0,1480.0,113.84,თბილისი,ვაკე-საბურთალო,საბურთალო,მარშალ გელოვანის გამზ.,"იყიდება დეველოპერული კომპანია მ2-ის პოექტში “მ3 საბურთალო”, მე-13 მშენებარე კორპუსში, მე-4 სართულზე, 3-ოთახიანი, 2-საძინებლიანი ბინა, ორი აივნით, ორი სველი წერტილით, ხედით პარკზე და ტბაზე. იყიდება მშენებელზე უფრო იაფ ფასად: $169,000. დამატებით შესაძლებელია 1 ან 2 დახურული პარკინგის ადგილის შეძენა. ა",https://static.ss.ge/20250407/9_bd00571b-79bc-46ee-bb54-68e37d08a9b9_Thumb.jpg,https://home.ss.ge/real-estate/31850117,1484.54
31909075,იყიდება 3 ოთახიანი ბინა საბურთალოზე,399000.0,145000.0,4540.0,1650.0,88.0,თბილისი,ვაკე-საბურთალო,საბურთალო,ქავთარაძის ქ.,"მიმდინარე ხდება რემონტი, გაკეთებული ჭერში გიფსოკარდონი, ელ. გაყვანილობა, გათბობის და წყლის ქსელი გაყვანილია",https://static.ss.ge/20250413/13_1f22ef3d-cf00-452e-919c-4006cc016a0b_Thumb.jpg,https://home.ss.ge/real-estate/31909075,1647.73
31774418,იყიდება 3 ოთახიანი ბინა საბურთალოზე,536000.0,195000.0,5890.0,2140.0,91.0,თბილისი,ვაკე-საბურთალო,საბურთალო,პოლიტკოვსკაიას ქ. (ჯიქიას ქ.),"მესაკუთრესგან !! იყიდება სამ ოთახიანი, (ორი საძინებელი) უცხოვრებელი ბინა, ქავთარაძეს, პოლიტკოვსკაიას და სანდრო ეულის ქუჩების კვეთაზე, დემაქსის პრესტიჯულ კომპლექსში, 24 საათიანი ვიდეო მონიტორინგი, დაცული შასასვლელი, მეტრო სახელმწიფო უნივერსიტეტი 100 მეტრში, კორპუსის პირველ სართულზე განთავსებულია კარფ",https://static.ss.ge/20250331/16_59796c80-1d7f-4bed-8930-2bd4433970cd_Thumb.jpg,https://home.ss.ge/real-estate/31774418,2142.86
31711982,იყიდება 4 ოთახიანი ბინა საბურთალოზე,380000.0,138000.0,4090.0,1490.0,92.8,თბილისი,ვაკე-საბურთალო,საბურთალო,გაგარინის ქ.,"იყიდება პრემიუმ კლასის ბინა რუფ გაგარინში!

🌟 მისამართი: იური გაგარინის 10, მეოთხე სართული
📏 ფართობი: 92.8 მ²
🛏 3 საძინებელი | 🛋 სტუდიოს ტიპის მისაღები | 🚿 2 სველი წერტილი | 🌅 2 აივანი

ეს ნათელი, გემოვნებით დაგეგმარებული ბინა იდეალურ საცხოვრებელ პირობებს გთავაზობთ. ყველა საძინებელს გააჩნია ფანჯარა,",https://static.ss.ge/20250322/4_d93da360-036d-4f88-9e47-f325c0597d7c_Thumb.jpg,https://home.ss.ge/real-estate/31711982,1487.07
31653663,იყიდება 2 ოთახიანი ბინა ლისის ტბაზე,214000.0,77900.0,4040.0,1470.0,53.0,თბილისი,ვაკე-საბურთალო,ლისის ტბა,ავთო ვარაზის ქ.,"სასწრაფოდ!!! იყიდება ოროთახიანი ბინა (53 კვ.მ), მწვანე კარკასი. ლოკაცია ""მწვანე უბანი ლისთან""  ავთო ვარაზის ქუჩა 99დ. ბინა არის მზიანი, სტუდიო ტიპის, დამოუკიდებელი საძინებლით. მზადაა სარემონტოდ. მიყვანილია გათბობის წერტილები. ვარ მეპატრონე!",https://static.ss.ge/20250317/13_7200e37d-d052-4088-9cc6-af6f49396972_Thumb.jpg,https://home.ss.ge/real-estate/31653663,1469.81
31873212,იყიდება 3 ოთახიანი ბინა საბურთალოზე,382000.0,139000.0,4180.0,1520.0,91.4,თბილისი,ვაკე-საბურთალო,საბურთალო,პეკინის ქ.,"კუთხის ნათელი ბინა, სამივე მხარეს აქვს ფანჯრები და 1 აივანი.შემოსაზღვრული დიდი გამწვანებული ეზოთი და საპარკინგე ადგილით. შენობას შეცვლილი აქვს კანალიზაციის სისტემა და სახურავი. მაღალი ჭერი 3.3. სართული 5/5 (ლიფტი არ აქვს). ვარ მესაკუთრე.",https://static.ss.ge/20250409/8_2a60b9dc-43e8-4781-b836-003e7fcd1355_Thumb.jpg,https://home.ss.ge/real-estate/31873212,1520.79
31829455,იყიდება 5 ოთახიანი ბინა ნუცუბიძის ფერდობზე,495000.0,180000.0,3990.0,1450.0,124.0,თბილისი,ვაკე-საბურთალო,ნუცუბიძის ფერდობი,ნუცუბიძის III პლატო,"იყიდება ბინა სასწრაფოდ ‼️

Apex Development-ში (ნუცუბიძის პროექტი) მისამართი პ. დათუაშვილის ქ. 22

მწვანე კარკასი, კუთხის ბინა საკმაოდ ნათელია, ულამაზესი პანორამული ხედებით.

ცენტრალური გათბობის გაზის მილები  5 ოთახი  2 სველი წერტილი  4 საძინებელი

პროექტი სრულად ბარდება მაისში.  ფართი 124 მ2 მე-13",https://static.ss.ge/20250404/16_68962189-cea3-4acd-8757-bec1b80e3190_Thumb.jpg,https://home.ss.ge/real-estate/31829455,1451.61
31886407,იყიდება 3 ოთახიანი ბინა ვაშლიჯვარში,223000.0,81000.0,4560.0,1660.0,48.8,თბილისი,ვაკე-საბურთალო,ვაშლიჯვარი,პ.სარაჯიშვილის ქ.,"იყიდება უცხოვრებელი ბინა,ვაშლიჯვრის დასაწყისში,გელოვანზე.მაღალი ხარისხის რემონტით.სტუდიოს ტიპის,2 იზოლირებული საძინებლით(1 ბუნებრივი,2 მეორადი)როგორც საძინებლიდან ასევე მისაღებს აქვს აივანი.თანამედროვე ტექნიკით და იტალიური ცენტრალური გათბობით.",https://static.ss.ge/20250410/17_761e0b40-8000-4042-8f7e-9733b8d380b9_Thumb.jpg,https://home.ss.ge/real-estate/31886407,1659.84
31756125,იყიდება 2 ოთახიანი ბინა საბურთალოზე,362000.0,132000.0,5560.0,2020.0,65.0,თბილისი,ვაკე-საბურთალო,საბურთალო,ალ.ყაზბეგის გამზ.,"ვარ მეპატრონე, მაკლერებმა არ დამირეკოთ
აქსისის კორპუსი ყაზბეგის გამზირზე , 1 საძინებლით , ჩაშენებული კარადებით ,  2 ლიფტით,",https://static.ss.ge/20250327/4_c6c444c8-b7f9-405d-93b2-4b656ccfa1e3_Thumb.jpg,https://home.ss.ge/real-estate/31756125,2030.77
31786024,იყიდება 3 ოთახიანი ბინა საბურთალოზე,454000.0,165000.0,5530.0,2010.0,82.0,თბილისი,ვაკე-საბურთალო,საბურთალო,"ვაჟა ფშაველას I ჩიხი,",ვაჟა ფშაველას მეტროსთან ძალიან ახლოს. საჭიროებს კოსმეტიკურ რემონტს. იდეალურია გასაქირავებლად,https://static.ss.ge/20250331/15_72057967-f24a-4e05-9108-d3d16c3b8701_Thumb.jpg,https://home.ss.ge/real-estate/31786024,2012.2
31887907,იყიდება 3 ოთახიანი ბინა დიდ დიღომში,233000.0,84600.0,3020.0,1100.0,76.9,თბილისი,ვაკე-საბურთალო,დიდი დიღომი,ერედვის ქ.,"AIM დიდი დიღომი არის 6 სართულიანი მშენებარე პროექტი, რომელიც სრულდება 2026 წლის ივლისის ბოლოს. გთავაზობთ ფართებს 47.30 კვ.მ-დან. 1კვ.მ-ის ღირებულება გახლავთ 1100$ ექვ.ლარში 33%-ის პირველადი დაფარვის შემთხვევაში. 1კვ.მ - 1150$ ექვ.ლარში შემდეგი გრაფიკით გადახდის შემთხვევაში: 10% ბინის შეძენისას, 30%",https://static.ss.ge/20250410/12_e0f9e906-b189-477d-9e30-c03e28e2b602_Thumb.jpg,https://home.ss.ge/real-estate/31887907,1100.13
31264514,იყიდება 4 ოთახიანი ბინა საბურთალოზე,1320000.0,480000.0,8250.0,3000.0,160.0,თბილისი,ვაკე-საბურთალო,საბურთალო,უნივერსიტეტის ქ.,"განცხადება გამოქვეყნებულია ბინის მფლობელის მიერ. --- გთხოვთ იხილოთ სრული ვიდეო, რომელშიც შესაძლებლობა გექნებათ დაათვალიეროთ ბინა. ვიდეო თანდართულია განცხადებაზე. -- იყიდება მაღალი ხარისხის ბინა გრინჰილის კომპლექსში (GreenHill Residence) - ერთ-ერთი ყველაზე პრესტიჟული საცხოვრებელი კომპლექსი თბილისში.",https://static.ss.ge/20250205/10_733c4297-662c-420f-8f1a-5064d98642cd_Thumb.jpg,https://home.ss.ge/real-estate/31264514,3000.0
